"Name","Definition","Status","Related Terms","Synonyms","Acronym","Experts","Stewards","Resources","[Attribute][Business Glossary]Domain","[Attribute][Business Glossary]Equivalent Phrases","[Attribute][Business Glossary]System-Table-Field"
"BOM Item Text (Line 1)","Text of up to 40 characters, which forms the first of two lines of text describing the item.
If this text length (two lines of 40 characters each) is not sufficient, you can also enter a long text by choosing menu option Extras -> Long text -> Item.
�When you create an item long text, the first 80 characters of the BOM item text are copied to the long text.
�If you change the BOM item text, the first 80 characters of long text are automatically changed, too. If you change the first two lines of the BOM item long text, the short text is automatically changed.
For text items, this text is copied to the component description field on the item overview.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-STPO-POTX1"
"Take Regular Vendor into Account","Indicator specifying whether or not the regular supplier is to be taken into account in the source determination process.
Procedure
Set the indicator if you wish the regular supplier to be taken into account in source determination.
Use
If the indicator is set, the regular supplier will be suggested as source of supply.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-T001W-BZQHL"
"Product Brand (IBP)","Product brands refer to the individual products of a company and are the foundation of its brand world. ... Examples of well-known product brands are Coca-Cola, Nutella, and Ariel. Often there is a multitude of product brands within an organization.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","IBP-Product-BRAND"
"MATERIAL LEDGER ","Is the basis of actual costing. It enables Article / Material inventories to be valued in multiple currencies and allows the use of different valuation approaches","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Joker Format  Code (APS)","The joker field indicates the joker label format that is to be used.  This field is used in the Casualwear manufacturing process.  ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE-JOKER_FORMAT_CD"
"Pack Size","Product Pack Size (number of garment in a package) 

EX Values: 1, 2, 6, ..

Note: Not applicable for Placeholder Products.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-Derived from MDG GAR UOM"
"Sort Key (AFS)","Indicates the layout rule for the Allocation field in the document line item.","Approved","","","","Teresa.Fisher@hanes.com: Sr Mgr Global Transacton Services;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","AFS-KNB1-ZUAWA"
"Canadian Style Type Code (APS)","The Canadian style type is used for Canadian custom invoicing.  This field was previously known as style type.","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE_PRT-CANADIAN_STYLE_TYPE_CD"
"External Rep Style (APS)","
THE rep STYLE must have THE same corporate division AS THE STYLE.  Rep STYLE will DEFAULT TO THE garment STYLE, but can be different.   IF THE rep STYLE IS different THAN THE CURRENT STYLE you are setting up, it must exist ON THE STYLE TABLE.      ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-EXTERNAL_SKU_XREF-EXTERNAL_REP_STYLE"
"STYLE","This field identifies the style of the garment shipping","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"RE-ATP","will be executed weekly (Check)  for past due and long-term requirements","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Supplier Incoterm 1","Commonly used trading terms that comply with the standards established by the International Chamber of Commerce (ICC).
Use
Incoterms specify internationally recognized procedures that the shipper and the receiving party must follow for the shipping transaction to be completed successfully.","Approved","","","","Kennedy.Waiguru@hanes.com:Kennedy Waiguru - Sr Procurement Analyst;","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-LFM1-INCO1"
"Supplier Valid-to date","Specifies the end date for the validity period of an object (such as material, BOM, or routing).
Valid-to date in current Release only 99991231 possible","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","Valid To","MDG-ADRC-DATE_TO"
"Color  Description (APS)","A system of letters numbers, or symbols into which normal language is converted to allow the hue of a HBI product to be communicated ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-COLOR-COLOR_DESC"
"RAPID REPLENISHMENT","S4 Creates STO (stock transfer Order) to move inventory between distribution centers to address model stock shortages","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Activity Seq No (APS)","Every supply item in the Bill of material must be linked TO a supply activity.  We can ONLY USE activities IN THE bill OF material that are set up as supply activities on the activity table. 
""	Activity- All activities that appear in the bill of material, must appear in the activity routing. 
""	Activity- The activity in the bill of material to determine the demand location for that supply item.  For example if an item in the bill of material has an activity of SEW and the location of SEW in the activity routing is 35, then that supply item is needed at location 35. ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-ACTIVITY_ROUTING-ACTIVITY_SEQ_NO"
"WINSHUTTLE INTEGRATION","Winshuttle is integrated with SAP S/4 and used to load Journal Entries (JEs) to SAP.","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"State Abbreviation (APS)","
A symbol representing an area forming part OF a federal country such AS THE United States OR Australia WITH its OWN government AND legislature AND control OVER most OF its OWN internal affairs","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-STATE_ABBREVIATION"
"Piece Code (APS)","The piece type is another marketing categorization.  It is also used in determining size literals.   
","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-STYLE_CSW-PIECE_CD"
"SuperCPG Dist Channel Descr (IBP)","Description  for the Super CPG Distribution Channel","Approved","","","","","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","IBP-Customer-ZZSCPGDISTCHANNELDESCR"
"Block Key for Payment","Block key (enqueue key) that is used to block an open item or an account to payment transactions.
You can use the block key as described below.
�Automatic Payment Transactions
In automatic payment transactions, the block takes effect when it is entered in the system as follows:?In the master record
?In the document
If you enter the block in the master record then all open items for this account are contained in the exception list.
The following block keys have a special meaning in the master record:?The block key * has the effect that all items of the account are skipped in automatic payment transactions.
?The block key + has the effect that all items are skipped in which a payment method was not entered explicitly.
?The block key A is always set automatically when a down payment is entered. Therefore, you must not delete the block key A or use it for other purposes.
Whether a block key can be set or removed in payment proposal processing depends on the attribute Changeable in payment proposal of the block key.","Approved","","","","Steven.Caudill@hanes.com:Steven Caudill-Sr Mgr Global Transaction Services;","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","Payment Block","MDG-LFB1-ZAHLS"
"Default Customer Location (IBP)","Default customer facing location. When grouped by Customer and Product the ratio must always ass up to 1.

This is currently used as a proportion key figure on Disaggregation key figure to position the baseline forecast at the default location
4/21/2022: This is being done within the ETL loading Customer Source in the datamart. Rows with ZZDFLTCUSTLOC = NULL auto inserted from OpenOrdersQtyAndRev and ZZEVENTQTY.","Approved","","","","","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","IBP-Customer Source-ZZDFLTCUSTLOC"
"SWIFT/BIC","Uniquely identifies a bank throughout the world.
SWIFT stands for Society for Worldwide Interbank Financial Telecommunication.
BIC stands for Bank Identifier Code.","Approved","","","","Jay.Metzger@hanes.com:Director, Corporate Accounting;Steven.Caudill@hanes.com:Sr Mgr Global Transaction Services;","Cassandra.Martin@hanes.com:Cassandra Martin - Finance Domain Lead;","","Finance","","MDG-BNKA-SWIFT"
"Pics Plant Code (APS)","The plant is the facility where specified activity occurs.  

","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-PICS_PLANT_CD"
"Business Partner Number","Key identifying a business partner in the SAP system. The key is unique within a client.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","BP Number","MDG-LFA1-LIFNR, MDG-BUT000-PARTNER"
"Terms Of Payment (AFS)","Key for defining payment terms composed of cash discount percentages and payment periods.","Draft","","Payment Terms;","","Teresa.Fisher@hanes.com: Sr Mgr Global Transacton Services;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","Payment Terms","AFS-KNB1-ZTERM, AFS-KNVV-ZTERM"
"Control Data for BOM","Defines the level at which you can maintain BOM for a generic article and its variants. Please note, that changing the level of BOM maintenance can cause inconsistencies. For further information, please refer to SAP note 2311445.
Use
You can set the level of BOM maintenance to generic article level (recommended) or to variant article level.
Generic article level BOM maintenance (recommended)
As a default in Fashion Management, you create a BOM on generic article level by maintaining deviation quantity and include/exclude segment value. The same values are copied to the variants of the generic article for header and components.
Variant level BOM maintenance
For backward compatibility reasons, you can decide to continue maintaining BOM's at variant article level. This can be useful if you used BOM's in your retail system at variant level, and activate Fashion Management. If you set the level of BOM maintenance to variant article level, creating a BOM at generic article level doesn't have any impact on variant article BOM's. Instead, you have to maintain BOM for each individual variant article level.
Dependencies
Check the default setting. If you maintained variant article level BOM's before activating Fashion Management, please refer to SAP note 2311445.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-T001W-FSH_BOM_MAINTENANCE"
"Replenishment Lead Time","Total replenishment lead time (in workdays)","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARC-WZEIT"
"Area schema","n the area schema you can define the relative dimensions of each layout module.
Use
When viewed in the context of the physical sales area of the store or department, the relative dimensions of the layout modules in the area schema provide simple indications of sales area profitability.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-WRF1-FLVAR"
"WORK CENTER","An organizational unit that defines where and when an operation must be performed.","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
